service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
727,1,1,1,1,1,1,1,20190828,20191214
729,1,1,1,1,1,1,1,20190828,20191214
737,1,1,1,1,1,1,0,20190828,20191214
738,1,1,1,1,1,1,0,20190828,20191214
739,1,1,1,1,1,1,1,20190828,20191214
741,1,1,1,0,0,0,1,20190828,20191214
743,0,1,1,1,0,0,0,20190828,20191214
744,0,1,1,1,0,0,0,20190828,20191214
745,1,1,1,1,1,0,1,20190828,20191214
746,1,1,1,1,0,0,0,20190828,20191214
757,1,1,1,1,0,0,1,20190828,20191214
761,0,1,1,1,1,0,1,20190828,20191214
763,1,1,1,1,1,1,1,20190828,20191214
123456,1,1,1,1,1,0,0,0,0
123456,1,1,1,1,1,0,0,0,0
123456,1,1,1,1,1,0,0,0,0
123456,1,1,1,1,1,0,0,0,0
